Algorithm,PH,Range,Function,A,B,C,D,E,A + B,RMSE,MSE,MAE,MAPE
Linear,4,TAR_2,gMSE,81.34,14.88,0.16,3.6,0.02,96.22,48.3,2332.45,36.32,0.12
CNN,2,ENTIRE,RMSE,76.52,19.41,0.13,3.92,0.01,95.93,28.54,814.72,20.57,0.15
CNN,2,TBR_2,RMSE,36.96,0,0,62.95,0.09,36.96,31.49,991.54,27.84,0.58
CNN,2,TBR_1,RMSE,21.73,0,0,78.08,0.2,21.73,29.34,860.61,24.54,0.4
CNN,2,TIR,RMSE,75.46,24.36,0.18,0,0,99.82,24.41,595.87,17.57,0.15
CNN,2,TAR_1,RMSE,84.4,14.87,0.09,0.62,0.02,99.27,31.38,984.8,22.65,0.11
CNN,2,TAR_2,RMSE,87.3,10.86,0.04,1.8,0,98.16,39.8,1583.94,30.11,0.1
CNN,4,ENTIRE,RMSE,60.52,32.68,0.59,6.13,0.09,93.2,41.77,1745.04,30.81,0.22
CNN,4,TBR_2,RMSE,0.19,0,0,98.4,1.41,0.19,55.24,3051.5,50.66,1.06
CNN,4,TBR_1,RMSE,0.51,0,0,97.53,1.96,0.51,50.59,2559.49,44.9,0.73
CNN,4,TIR,RMSE,60.6,38.55,0.86,0,0,99.15,33.14,1098.17,24.64,0.21
CNN,4,TAR_1,RMSE,70.44,27.44,0.27,1.84,0,97.88,43.5,1891.95,32.83,0.16
CNN,4,TAR_2,RMSE,64.57,26.14,0.11,9.18,0,90.71,66.91,4477.58,52.83,0.17
LSTM,2,ENTIRE,RMSE,86.81,12.08,0,1.11,0,98.89,24.84,616.87,18.71,0.11
LSTM,2,TBR_2,RMSE,89.7,0,0,10.29,0.01,89.7,14.1,198.75,10.85,0.23
LSTM,2,TBR_1,RMSE,77.68,0,0,22.31,0.01,77.68,13.12,172.17,9.24,0.15
LSTM,2,TIR,RMSE,86.54,13.46,0.01,0,0,100,18.5,342.2,13.82,0.11
LSTM,2,TAR_1,RMSE,87.65,11.97,0,0.38,0,99.62,29.32,859.93,24.41,0.12
LSTM,2,TAR_2,RMSE,89.27,10.1,0,0.64,0,99.37,41.72,1740.68,36.43,0.12
LSTM,4,ENTIRE,RMSE,67.22,26.99,0.17,5.59,0.03,94.21,37.91,1437.05,27.58,0.18
LSTM,4,TBR_2,RMSE,12.49,0,0,87.15,0.36,12.49,39.91,1592.9,36.08,0.75
LSTM,4,TBR_1,RMSE,8.14,0,0,91.32,0.53,8.14,36.15,1306.99,31.19,0.51
LSTM,4,TIR,RMSE,71.56,28.2,0.25,0,0,99.76,26.78,717.07,19.5,0.16
LSTM,4,TAR_1,RMSE,70.38,27.73,0.07,1.81,0.02,98.11,43.2,1866.09,33.81,0.16
LSTM,4,TAR_2,RMSE,62.09,30.29,0.03,7.59,0,92.38,66.2,4381.92,55.44,0.18
